#Elem Ion   Wave   a1(dT)         a1goodness      a2(dT^2)       a2goodness     b1(dlogg)        b1goodness       b2(dlogg^2)    b2goodness      c1(dFe_H)      c1goodness	 c2(dFe_H^2)    c2goodness       d1(mixed)           d1goodness	          off            offgoodness   EW_std
#Ni    1     5806.8 -0.057545914195 0.002952704652 0.000005636559 0.000000254792 -57.466640634606 3.726018582097 7.098981688641 0.441757752052 -20.509158287415 2.941684155574 -6.380512893761 0.477797734672 -18508.590499522827 16811.755022462366 260.024583037133 10.003250614969 0.567207975208
#Ni    1     5848.6 0.046642989949 0.004181437452 -0.000002686348 0.000000360820 -42.792268544173 5.276545398564 5.404399019011 0.625588632391 56.893914674917 4.165823362029 -10.528858384343 0.676625517267 -432505.958590971015 23807.727377228344 -95.386821839479 14.165977284522 0.803243336835
Ni    1     6588.1 -0.012810858800 0.004968522500 0.000002547561 0.000000428739 -48.653148723212 6.269758913049 6.127291932425 0.743344289474 -0.412846906093 4.949969147964 -8.833624955356 0.803987851232 -139801.059749561566 28289.134484090137 85.128143913504 16.832456533770 0.954439471518
#Ni    1     6600.4 -0.028645286793 0.003249510751 0.000003189873 0.000000280404 -53.109811299028 4.100551679879 6.553112546766 0.486162498754 9.982723877471 3.237379079974 -11.119805325890 0.525824803761 -178774.584761175356 18501.657301730618 166.528435303345 11.008775127158 0.624222918159
#Ni    1     6636.9 -0.032238415360 0.003288736294 0.000003385101 0.000000283788 -61.799404129297 4.150051202563 7.574484508305 0.492031179083 5.439089402883 3.276457252250 -13.652645283972 0.532172076851 -159853.711714094825 18724.990052597281 199.144102630444 11.141665914341 0.631758064205
Ni    1     6645.4 -0.069901395533 0.004453137682 0.000008211708 0.000000384335 -33.575176270819 5.584324199290 4.348447470528 0.662041289493 -48.746388311087 4.430460309401 -6.366630651902 0.715684362647 105523.746369684624 25320.308999011835 193.886425726216 15.043523259066 0.848395264435
Ni    1     7717.7 -0.092813299287 0.004719953893 0.000009296090 0.000000407290 -69.657428699117 5.956101979559 8.647741407575 0.706157036493 -12.803042812955 4.702333310219 -10.030482665581 0.763766278530 -120655.609123938484 26873.888896776338 365.753753629543 15.990383838827 0.906691225403
Ni    1     7729.7 -0.074530067208 0.002436486666 0.000007893421 0.000000210247 -31.225292797529 3.074597579068 3.604431255162 0.364525110591 -30.202672794517 2.427387274366 -5.890967535232 0.394264167783 -7612.869538353480 13872.543042074027 235.714021359911 8.254401970397 0.468043041055
Ni    1     7751.0 -0.014127652471 0.002299956977 0.000002673747 0.000000198466 -0.387203153550 2.902295729868 -0.010270137361 0.344096941925 -42.653061598977 2.291365509878 -6.117434757467 0.372170150384 44999.548541689670 13095.178703849662 -4.967483544045 7.791801697811 0.441815085818
Ni    1     7791.0 -0.068610737021 0.005206477965 0.000008362486 0.000000449484 -60.875036088417 6.504179084679 7.574489803137 0.770976288639 -41.720748490532 5.191528358831 -6.533641903487 0.832460301407 46632.207769675202 29670.571894435991 239.017338348046 17.584119036795 0.982855498902
Ni    1     7799.7 -0.088403697278 0.002546022867 0.000008854116 0.000000219699 -47.843697525246 3.212815633003 5.730059304325 0.380912277449 -34.637660524322 2.536519562035 -4.914546176654 0.411988905801 26839.322146586379 14496.237173730457 315.696246115132 8.625484683841 0.489083908747
O     1     7774.0 -0.060066566224 0.006452281354 0.000001806595 0.000000556774 15.066345351461 8.142164908447 -0.073368826127 0.965337395594 -91.085195028425 6.428205213809 -1.330479434985 1.044089537605 427552.546750531474 36737.262512624475 220.727046605137 21.859385451064 1.239468937117
O     1     7776.3 -0.024423775662 0.005710053106 -0.000000914753 0.000000492726 7.590069352010 7.205504150322 0.677325935807 0.854286565263 -85.948297464795 5.688733307266 -2.506844907726 0.923981439829 401259.296250065265 32511.173092258730 124.105018065970 19.344685797709 1.096886804217
O     1     7777.5 -0.000319289644 0.004687924363 -0.000002550136 0.000000404526 -0.399179564476 5.915647712173 1.396460411093 0.701361227219 -90.503493178104 4.670413517137 -1.551288415334 0.758580154300 438983.404380028311 26691.482263217731 60.809100889396 15.881659179198 0.900541564203
Rb    1     7802.2 -0.127334551687 0.004421234263 0.000011390890 0.000000381513 -154.751397830445 5.579146160470 18.826510051441 0.661465047737 -50.407860277289 4.404724256549 -17.650563472313 0.715428841745 72958.409370796697 25173.047926535426 671.901599629938 14.978354046974 0.849307908566
#Sc    1     4745.1 0.110268624703 0.003083692281 -0.000008775175 0.000000266095 -16.127983947038 3.891300839450 1.826113162738 0.461353659649 54.558988782687 3.072177498567 -6.055024731367 0.498992007272 -346012.352637818782 17557.528618528071 -308.756956724596 10.446994562154 0.592369265375
Sc    2     5659.4 -0.079035489482 0.003861702213 0.000006673536 0.000000333230 14.880402169490 4.873099589132 -0.221693022812 0.577756040751 -46.833607109364 3.847276105771 -1.537019216836 0.624886343024 150036.248894457240 21987.224621879643 171.609606718999 13.082753070980 0.741822050150
